reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R08436/NE_imine_formation.2/;	6/NE_imine_formation_2;	0.131524	0.230769	0.166667	0.170732	0.145455	0.176471	0.134146	0.117647	0.0434783
R08436/NE_imine_formation.2/;	6/NE_imine_formation_2;	0.131524	0.230769	0.166667	0.170732	0.145455	0.176471	0.134146	0.117647	0.0434783
R08436/NE_imine_formation.2/;	6/NE_imine_formation_2;	0.122153	0.230769	0.166667	0.170732	0.145455	0.142857	0.120482	0.117647	0.0322581
R08436/NE_imine_formation.2/;	6/NE_imine_formation_2;	0.122153	0.230769	0.166667	0.170732	0.145455	0.142857	0.120482	0.117647	0.0322581
R08436(r)/NE_imine_formation.1(rev)/;	6/NE_imine_formation_2;	0.101626	0.230769	0.166667	0.170732	0.125	0.142857	0.0941176	0.0674157	0.0105263
R08436(r)/NE_imine_formation.1(rev)/;	6/NE_imine_formation_2;	0.101626	0.230769	0.166667	0.170732	0.125	0.142857	0.0941176	0.0674157	0.0105263
R08436(r)/NE_imine_formation.1(rev)/;	6/NE_imine_formation_2;	0.097166	0.230769	0.166667	0.170732	0.125	0.111111	0.0941176	0.0674157	0.0105263
R08436(r)/NE_imine_formation.1(rev)/;	6/NE_imine_formation_2;	0.097166	0.230769	0.166667	0.170732	0.125	0.111111	0.0941176	0.0674157	0.0105263
R04293(r)/NE_imine_formation.1/;	6/NE_imine_formation_2;	0.0932358	0.333333	0.25	0.2	0.146667	0.0645161	0.030303	0.0120482	0
R08825/NE_imine_formation.2/;	6/NE_imine_formation_2;	0.0836502	0.230769	0.166667	0.142857	0.137931	0.111111	0.0689655	0.040404	0.00892857
R08825/NE_imine_formation.2/;	6/NE_imine_formation_2;	0.0836502	0.230769	0.166667	0.142857	0.137931	0.111111	0.0689655	0.040404	0.00892857
R08827/NE_imine_formation.2/;	6/NE_imine_formation_2;	0.0831758	0.230769	0.166667	0.142857	0.137931	0.111111	0.0689655	0.039604	0.00884956
R08827/NE_imine_formation.2/;	6/NE_imine_formation_2;	0.0831758	0.230769	0.166667	0.142857	0.137931	0.111111	0.0689655	0.039604	0.00884956
R08835/NE_imine_formation.2/;	6/NE_imine_formation_2;	0.0805501	0.230769	0.166667	0.121951	0.109091	0.115942	0.0714286	0.0412371	0.00934579
R08835/NE_imine_formation.2/;	6/NE_imine_formation_2;	0.0805501	0.230769	0.166667	0.121951	0.109091	0.115942	0.0714286	0.0412371	0.00934579
R11022/NE_imine_formation.1/;	6/NE_imine_formation_2;	0.0802469	0.333333	0.228571	0.16	0.0746269	0.0526316	0.0365854	0.0133333	0
R08831/NE_imine_formation.2/;	6/NE_imine_formation_2;	0.0802348	0.230769	0.166667	0.121951	0.109091	0.115942	0.0714286	0.0412371	0.00917431
R08831/NE_imine_formation.2/;	6/NE_imine_formation_2;	0.0802348	0.230769	0.166667	0.121951	0.109091	0.115942	0.0714286	0.0412371	0.00917431
R08825(r)/NE_imine_formation.1(rev)/;	6/NE_imine_formation_2;	0.0754717	0.230769	0.166667	0.142857	0.118644	0.0958904	0.0568182	0.03	0.00892857
R08825(r)/NE_imine_formation.1(rev)/;	6/NE_imine_formation_2;	0.0754717	0.230769	0.166667	0.142857	0.118644	0.0958904	0.0568182	0.03	0.00892857
R08827(r)/NE_imine_formation.1(rev)/;	6/NE_imine_formation_2;	0.0750469	0.230769	0.166667	0.142857	0.118644	0.0958904	0.0568182	0.0294118	0.00884956
R08827(r)/NE_imine_formation.1(rev)/;	6/NE_imine_formation_2;	0.0750469	0.230769	0.166667	0.142857	0.118644	0.0958904	0.0568182	0.0294118	0.00884956
R08835(r)/NE_imine_formation.1(rev)/;	6/NE_imine_formation_2;	0.0721248	0.230769	0.166667	0.121951	0.0892857	0.1	0.0588235	0.0306122	0.00934579
R08835(r)/NE_imine_formation.1(rev)/;	6/NE_imine_formation_2;	0.0721248	0.230769	0.166667	0.121951	0.0892857	0.1	0.0588235	0.0306122	0.00934579
R08831(r)/NE_imine_formation.1(rev)/;	6/NE_imine_formation_2;	0.0718447	0.230769	0.166667	0.121951	0.0892857	0.1	0.0588235	0.0306122	0.00917431
R08831(r)/NE_imine_formation.1(rev)/;	6/NE_imine_formation_2;	0.0718447	0.230769	0.166667	0.121951	0.0892857	0.1	0.0588235	0.0306122	0.00917431
reactionA	reactionB	0	0	0	0	0	0	0	0	0
